Object_ID,Validity_From_s1,Validity_To_s1,State,Object_Type,Mapped_Class,Object_Class,Validity_From_s2,Validity_To_s2
OBJ10269,2026-06-22,2028-02-16,Active,Type_D,,,2026-12-12,2027-12-11
OBJ10271,2025-08-14,2027-08-29,Active,Type_D,,,2026-12-12,2027-12-11
OBJ10284,2026-08-24,2028-07-29,Active,Type_D,,,2026-12-12,2027-12-11
OBJ10301,2025-10-09,2028-05-24,Active,Type_D,,,2026-12-12,2027-12-11
OBJ10314,2026-03-02,2028-07-21,Active,Type_D,,,2026-12-12,2027-12-11
OBJ10321,2026-02-08,2029-01-27,Active,Type_D,,,2026-12-12,2027-12-11
OBJ10322,2026-03-06,2029-04-08,Active,Type_D,,,2026-12-12,2027-12-11
OBJ10323,2027-05-14,2029-04-25,Active,Type_D,,,2026-12-12,2027-12-11
OBJ10324,2026-12-27,2029-10-23,Active,Type_D,,,2026-12-12,2027-12-11
OBJ10326,2026-02-15,2028-08-27,Active,Type_D,,,2026-12-12,2027-12-11
OBJ10330,2026-04-02,2028-06-25,Active,Type_D,,,2026-12-12,2027-12-11
OBJ10343,2026-03-18,2028-03-03,Active,Type_D,,,2026-12-12,2027-12-11
OBJ10346,2027-08-24,2028-03-25,Active,Type_D,,,2026-12-12,2027-12-11
OBJ10351,2025-04-09,2028-02-14,Active,Type_D,,,2026-12-12,2027-12-11
OBJ10352,2025-01-06,2027-07-06,Active,Type_D,,,2026-12-12,2027-12-11
OBJ10355,2026-05-05,2029-08-01,Active,Type_D,,,2026-12-12,2027-12-11
OBJ10361,2026-06-22,2029-02-14,Active,Type_D,,,2026-12-12,2027-12-11
OBJ10365,2027-06-13,2029-03-04,Active,Type_D,,,2026-12-12,2027-12-11
OBJ10367,2025-09-21,2028-02-03,Active,Type_D,,,2026-12-12,2027-12-11
OBJ10373,2025-02-08,2027-08-06,Active,Type_D,,,2026-12-12,2027-12-11
OBJ10376,2026-11-04,2027-07-10,Active,Type_D,,,2026-12-12,2027-12-11
OBJ10379,2025-09-14,2027-10-14,Active,Type_D,,,2026-12-12,2027-12-11
OBJ10388,2025-10-29,2028-10-03,Active,Type_D,,,2026-12-12,2027-12-11
OBJ10398,2026-03-21,2029-04-05,Active,Type_D,,,2026-12-12,2027-12-11
OBJ10399,2026-05-14,2027-05-30,Active,Type_D,,,2026-12-12,2027-12-11
OBJ10403,2027-03-30,2028-01-05,Active,Type_D,,,2026-12-12,2027-12-11
OBJ10406,2025-04-25,2028-01-24,Active,Type_D,,,2026-12-12,2027-12-11
OBJ10408,2026-11-20,2028-10-25,Active,Type_D,,,2026-12-12,2027-12-11
OBJ10427,2026-05-22,2028-11-11,Active,Type_D,,,2026-12-12,2027-12-11
OBJ10430,2025-12-23,2028-05-16,Active,Type_D,,,2026-12-12,2027-12-11
OBJ10435,2026-06-29,2028-05-19,Active,Type_D,,,2026-12-12,2027-12-11
OBJ10442,2026-03-17,2028-01-23,Active,Type_D,,,2026-12-12,2027-12-11
OBJ10446,2027-01-14,2028-03-04,Active,Type_D,,,2026-12-12,2027-12-11
OBJ10452,2025-04-26,2027-10-23,Active,Type_D,,,2026-12-12,2027-12-11
OBJ10460,2027-07-26,2028-08-16,Active,Type_D,,,2026-12-12,2027-12-11
OBJ10463,2026-02-04,2029-01-26,Active,Type_D,,,2026-12-12,2027-12-11
OBJ10469,2024-11-30,2027-09-09,Active,Type_D,,,2026-12-12,2027-12-11
OBJ10470,2025-12-06,2027-05-07,Active,Type_D,,,2026-12-12,2027-12-11
OBJ10472,2025-11-05,2027-06-04,Active,Type_D,,,2026-12-12,2027-12-11
OBJ10480,2025-03-23,2028-07-01,Active,Type_D,,,2026-12-12,2027-12-11
OBJ10484,2026-10-27,2028-12-18,Active,Type_D,,,2026-12-12,2027-12-11
OBJ10485,2027-01-28,2028-06-20,Active,Type_D,,,2026-12-12,2027-12-11
OBJ10489,2026-09-05,2029-05-04,Active,Type_D,,,2026-12-12,2027-12-11
OBJ10494,2025-06-30,2028-06-26,Active,Type_D,,,2026-12-12,2027-12-11
OBJ10498,2026-05-27,2027-06-25,Active,Type_D,,,2026-12-12,2027-12-11
OBJ10502,2025-12-01,2027-05-12,Active,Type_D,,,2026-12-12,2027-12-11
OBJ10505,2027-06-07,2028-04-15,Active,Type_D,,,2026-12-12,2027-12-11
OBJ10506,2025-12-25,2027-05-26,Active,Type_D,,,2026-12-12,2027-12-11
OBJ10508,2024-10-06,2027-08-30,Active,Type_D,,,2026-12-12,2027-12-11
OBJ10511,2027-01-28,2029-03-08,Active,Type_D,,,2026-12-12,2027-12-11
OBJ10512,2026-01-01,2028-01-27,Active,Type_D,,,2026-12-12,2027-12-11
OBJ10523,2027-01-27,2028-11-04,Active,Type_D,,,2026-12-12,2027-12-11
OBJ10524,2027-05-24,2028-10-30,Active,Type_D,,,2026-12-12,2027-12-11
OBJ10530,2026-10-03,2029-10-12,Active,Type_D,,,2026-12-12,2027-12-11
OBJ10532,2025-12-16,2027-03-30,Active,Type_D,,,2026-12-12,2027-12-11
OBJ10533,2025-10-21,2028-04-23,Active,Type_D,,,2026-12-12,2027-12-11
OBJ10534,2025-11-08,2028-12-29,Active,Type_D,,,2026-12-12,2027-12-11
OBJ10542,2025-09-09,2028-02-12,Active,Type_D,,,2026-12-12,2027-12-11
OBJ10546,2025-10-02,2028-06-01,Active,Type_D,,,2026-12-12,2027-12-11
OBJ10552,2025-11-20,2029-02-16,Active,Type_D,,,2026-12-12,2027-12-11
OBJ10555,2026-02-24,2027-08-26,Active,Type_D,,,2026-12-12,2027-12-11
OBJ10556,2027-08-13,2029-08-17,Active,Type_D,,,2026-12-12,2027-12-11
OBJ10557,2027-02-09,2029-02-04,Active,Type_D,,,2026-12-12,2027-12-11
OBJ10560,2026-06-05,2029-07-22,Active,Type_D,,,2026-12-12,2027-12-11
OBJ10563,2025-04-21,2028-01-04,Active,Type_D,,,2026-12-12,2027-12-11
OBJ10566,2025-05-26,2027-12-10,Active,Type_D,,,2026-12-12,2027-12-11
OBJ10578,2026-09-02,2029-11-07,Active,Type_D,,,2026-12-12,2027-12-11
OBJ10585,2026-06-22,2027-01-29,Active,Type_D,,,2026-12-12,2027-12-11
OBJ10591,2026-09-30,2028-02-20,Active,Type_D,,,2026-12-12,2027-12-11
OBJ10594,2025-07-24,2027-11-13,Active,Type_D,,,2026-12-12,2027-12-11
OBJ10595,2025-03-12,2026-12-16,Active,Type_D,,,2026-12-12,2027-12-11
OBJ10599,2026-02-22,2027-09-26,Active,Type_D,,,2026-12-12,2027-12-11
OBJ10600,2026-03-06,2028-04-05,Active,Type_D,,,2026-12-12,2027-12-11
OBJ10602,2025-07-20,2028-06-19,Active,Type_D,,,2026-12-12,2027-12-11
OBJ10603,2026-10-02,2028-03-19,Active,Type_D,,,2026-12-12,2027-12-11
OBJ10609,2027-06-30,2028-11-08,Active,Type_D,,,2026-12-12,2027-12-11
OBJ10617,2027-08-08,2028-12-20,Active,Type_D,,,2026-12-12,2027-12-11
OBJ10620,2027-06-16,2030-02-17,Active,Type_D,,,2026-12-12,2027-12-11
OBJ10621,2026-06-29,2027-09-28,Active,Type_D,,,2026-12-12,2027-12-11
OBJ10627,2025-12-23,2028-06-28,Active,Type_D,,,2026-12-12,2027-12-11
OBJ10629,2026-06-22,2028-10-10,Active,Type_D,,,2026-12-12,2027-12-11
OBJ10634,2026-08-23,2029-01-31,Active,Type_D,,,2026-12-12,2027-12-11
OBJ10638,2027-01-26,2028-02-07,Active,Type_D,,,2026-12-12,2027-12-11
OBJ10641,2026-06-29,2027-01-22,Active,Type_D,,,2026-12-12,2027-12-11
OBJ10651,2025-09-21,2027-12-01,Active,Type_D,,,2026-12-12,2027-12-11
OBJ10665,2025-07-22,2028-06-22,Active,Type_D,,,2026-12-12,2027-12-11
OBJ10670,2026-03-03,2028-09-27,Active,Type_D,,,2026-12-12,2027-12-11
OBJ10676,2025-09-09,2027-07-10,Active,Type_D,,,2026-12-12,2027-12-11
OBJ10678,2026-12-04,2029-01-05,Active,Type_D,,,2026-12-12,2027-12-11
OBJ10680,2027-02-12,2028-01-21,Active,Type_D,,,2026-12-12,2027-12-11
OBJ10688,2026-08-16,2027-08-22,Active,Type_D,,,2026-12-12,2027-12-11
OBJ10689,2026-01-04,2028-02-01,Active,Type_D,,,2026-12-12,2027-12-11
OBJ10694,2025-02-06,2027-12-31,Active,Type_D,,,2026-12-12,2027-12-11
OBJ10698,2027-01-01,2028-03-17,Active,Type_D,,,2026-12-12,2027-12-11
OBJ10700,2027-01-03,2029-04-12,Active,Type_D,,,2026-12-12,2027-12-11
OBJ10709,2025-11-20,2027-11-20,Active,Type_D,,,2026-12-12,2027-12-11
OBJ10710,2025-06-03,2027-06-26,Active,Type_D,,,2026-12-12,2027-12-11
OBJ10711,2026-09-14,2027-05-07,Active,Type_D,,,2026-12-12,2027-12-11
OBJ10712,2026-02-20,2028-07-14,Active,Type_D,,,2026-12-12,2027-12-11
OBJ10715,2026-10-26,2029-08-18,Active,Type_D,,,2026-12-12,2027-12-11
OBJ10721,2026-12-07,2028-01-19,Active,Type_D,,,2026-12-12,2027-12-11
OBJ10723,2027-01-30,2029-11-06,Active,Type_D,,,2026-12-12,2027-12-11
OBJ10726,2026-01-21,2028-06-08,Active,Type_D,,,2026-12-12,2027-12-11
OBJ10728,2027-05-28,2030-08-19,Active,Type_D,,,2026-12-12,2027-12-11
OBJ10733,2026-11-25,2030-02-14,Active,Type_D,,,2026-12-12,2027-12-11
OBJ10734,2025-08-14,2028-04-23,Active,Type_D,,,2026-12-12,2027-12-11
OBJ10735,2026-01-07,2028-08-01,Active,Type_D,,,2026-12-12,2027-12-11
OBJ10740,2026-09-03,2027-12-08,Active,Type_D,,,2026-12-12,2027-12-11
OBJ10742,2025-06-28,2027-05-18,Active,Type_D,,,2026-12-12,2027-12-11
OBJ10743,2026-09-26,2027-05-25,Active,Type_D,,,2026-12-12,2027-12-11
OBJ10757,2025-01-19,2027-10-15,Active,Type_D,,,2026-12-12,2027-12-11
OBJ10758,2025-01-22,2027-05-24,Active,Type_D,,,2026-12-12,2027-12-11
OBJ10770,2025-07-10,2028-03-07,Active,Type_D,,,2026-12-12,2027-12-11
OBJ10772,2025-12-29,2028-10-13,Active,Type_D,,,2026-12-12,2027-12-11
OBJ10773,2026-01-15,2027-03-21,Active,Type_D,,,2026-12-12,2027-12-11
OBJ10784,2027-03-07,2029-08-22,Active,Type_D,,,2026-12-12,2027-12-11
OBJ10795,2025-08-25,2028-10-12,Active,Type_D,,,2026-12-12,2027-12-11
